iter	Passed	Remaining
740	49480	17294
741	49538	17224
742	49615	17161
743	49675	17092
744	49744	17026
745	49807	16958
746	49879	16893
747	49935	16823
748	50005	16757
749	50073	16691
750	50135	16622
751	50194	16553
752	50273	16490
753	50334	16422
754	50400	16355
755	50465	16287
756	50532	16221
757	50604	16156
758	50667	16088
759	50743	16024
760	50805	15956
761	50869	15888
762	50937	15822
763	51007	15756
764	51070	15688
765	51143	15623
766	51203	15554
767	51267	15486
768	51332	15419
769	51391	15350
770	51459	15284
771	51540	15221
772	51604	15154
773	51669	15086
774	51731	15018
775	51795	14951
776	51861	14884
777	51917	14814
778	52001	14752
779	52058	14683
780	52125	14616
781	52187	14548
782	52253	14481
783	52320	14414
784	52388	14348
785	52469	14285
786	52526	14216
787	52594	14149
788	52659	14082
789	52731	14017
790	52789	13948
791	52861	13882
792	52921	13814
793	52986	13747
794	53047	13678
795	53104	13609
796	53174	13543
797	53242	13477
798	53309	13410
799	53371	13342
800	53440	13276
801	53503	13209
802	53569	13142
803	53640	13076
804	53707	13009
805	53771	12942
806	53840	12876
807	53905	12809
808	53969	12741
809	54035	12675
810	54124	12613
811	54196	12547
812	54275	12484
813	54360	12421
814	54441	12357
815	54548	12300
816	54632	12237
817	54719	12174
818	54787	12108
819	54864	12043
820	54941	11978
821	55024	11915
822	55086	11847
823	55213	11793
824	55283	11726
825	55367	11663
826	55447	11599
827	55514	11531
828	55571	11462
829	55639	11396
830	55707	11329
831	55773	11261
832	55849	11196
833	55916	11129
834	55979	11061
835	56056	10996
836	56117	10928
837	56180	10860
838	56255	10795
839	56326	10728
840	56388	10660
841	56462	10595
842	56526	10527
843	56598	10461
844	56674	10395
845	56744	10329
846	56820	10263
847	56893	10197
848	56961	10130
849	57028	10063
850	57104	9998
851	57167	9930
852	57239	9864
853	57310	9797
854	57381	9731
855	57458	9665
856	57529	9599
857	57596	9532
858	57665	9465
859	57737	9399
860	57803	9331
861	57866	9264
862	57944	9198
863	58014	9131
864	58079	9064
865	58138	8996
866	58210	8929
867	58280	8862
868	58351	8796
869	58410	8728
870	58477	8660
871	58543	8593
872	58609	8526
873	58664	8457
874	58734	8390
875	58816	8325
876	58872	8256
877	58933	8188
878	59004	8122
879	59081	8056
880	59145	7989
881	59206	7921
882	59282	7855
883	59348	7787
884	59412	7720
885	59480	7653
886	59543	7585
887	59603	7517
888	59677	7451
889	59753	7385
890	59813	7317
891	59879	7250
892	59947	7183
893	60011	7115
894	60079	7048
895	60152	6981
896	60212	6914
897	60276	6846
898	60337	6778
899	60402	6711
900	60469	6644
901	60547	6578
902	60611	6510
903	60676	6443
904	60738	6375
905	60803	6308
906	60865	6240
907	60932	6173
908	61001	6106
909	61065	6039
910	61130	5972
911	61197	5905
912	61258	5837
913	61325	5770
914	61387	5702
915	61467	5636
916	61528	5569
917	61590	5501
918	61657	5434
919	61720	5367
920	61788	5299
921	61866	5233
922	61926	5166
923	61988	5098
924	62054	5031
925	62112	4963
926	62180	4896
927	62247	4829
928	62316	4762
929	62382	4695
930	62446	4628
931	62520	4561
932	62587	4494
933	62656	4427
934	62739	4361
935	62811	4294
936	62873	4227
937	62930	4159
938	62993	4092
939	63069	4025
940	63140	3958
941	63199	3891
942	63268	3824
943	63326	3756
944	63398	3689
945	63464	3622
946	63538	3556
947	63597	3488
948	63666	3421
949	63726	3354
950	63791	3286
951	63855	3219
952	63917	3152
953	63999	3085
954	64057	3018
955	64124	2951
956	64191	2884
957	64253	2816
958	64322	2749
959	64402	2683
960	64463	2616
961	64576	2550
962	64632	2483
963	64690	2415
964	64755	2348
965	64836	2282
966	64897	2214
967	64960	2147
968	65022	2080
969	65091	2013
970	65147	1945
971	65209	1878
972	65280	1811
973	65343	1744
974	65413	1677
975	65481	1610
976	65539	1542
977	65605	1475
978	65673	1408
979	65739	1341
980	65804	1274
981	65867	1207
982	65932	1140
983	65990	1073
984	66067	1006
985	66135	939
986	66197	871
